timestamp,class,conf,info_title,info_descr,info_url
20251113_193040,person,0.896,person,No web information found for 'person'.,
20251113_193045,person,0.888,person,No web information found for 'person'.,
20251113_193050,person,0.601,person,No web information found for 'person'.,
20251113_193051,cell phone,0.389,cell phone,No web information found for 'cell phone'.,
20251113_193055,person,0.745,person,No web information found for 'person'.,
20251113_193057,cell phone,0.0,cell phone,No web information found for 'cell phone'.,
20251113_193057,laptop,0.0,laptop,No web information found for 'laptop'.,
20251113_193100,person,0.647,person,No web information found for 'person'.,
20251113_193101,laptop,0.0,laptop,No web information found for 'laptop'.,
20251113_193105,person,0.828,person,No web information found for 'person'.,
20251113_193105,cell phone,0.0,cell phone,No web information found for 'cell phone'.,
20251113_193107,wine glass,0.0,wine glass,No web information found for 'wine glass'.,
20251113_193110,person,0.876,person,No web information found for 'person'.,
20251113_193111,bottle,0.0,bottle,No web information found for 'bottle'.,
20251113_193114,wine glass,0.0,wine glass,No web information found for 'wine glass'.,
20251113_193115,bird,0.0,bird,No web information found for 'bird'.,
20251113_193116,bottle,0.0,bottle,No web information found for 'bottle'.,
20251113_193117,person,0.801,person,No web information found for 'person'.,
20251113_193120,person,0.909,person,No web information found for 'person'.,
20251113_193126,person,0.861,person,No web information found for 'person'.,
20251113_193128,tennis racket,0.0,tennis racket,No web information found for 'tennis racket'.,
20251113_193131,person,0.908,person,No web information found for 'person'.,
20251113_193134,book,0.0,book,No web information found for 'book'.,
20251113_193135,person,0.884,person,No web information found for 'person'.,
20251113_193139,book,0.0,book,No web information found for 'book'.,
20251113_193140,person,0.742,person,No web information found for 'person'.,
20251113_193144,book,0.384,book,No web information found for 'book'.,
20251113_193145,person,0.709,person,No web information found for 'person'.,
20251113_193149,book,0.378,book,No web information found for 'book'.,
20251113_193150,person,0.897,person,No web information found for 'person'.,
20251113_193153,wine glass,0.0,wine glass,No web information found for 'wine glass'.,
20251113_193155,person,0.883,person,No web information found for 'person'.,
20251113_193201,person,0.875,person,No web information found for 'person'.,
20251113_194041,person,0.8,person,No web information found for 'person'.,
20251113_194046,person,0.76,person,No web information found for 'person'.,
20251113_194051,person,0.756,person,No web information found for 'person'.,
20251113_194056,person,0.812,person,No web information found for 'person'.,
20251113_194059,knife,0.0,knife,No web information found for 'knife'.,
20251113_194100,cat,0.0,cat,No web information found for 'cat'.,
20251113_194101,person,0.594,person,No web information found for 'person'.,
20251113_194106,person,0.793,person,No web information found for 'person'.,
20251113_194111,person,0.676,person,No web information found for 'person'.,
20251113_194116,person,0.613,person,No web information found for 'person'.,
20251113_194116,cat,0.0,cat,No web information found for 'cat'.,
20251113_194122,person,0.467,person,No web information found for 'person'.,
20251113_194127,person,0.468,person,No web information found for 'person'.,
20251113_194132,cell phone,0.798,cell phone,No web information found for 'cell phone'.,
20251113_194132,person,0.649,person,No web information found for 'person'.,
20251113_194136,laptop,0.0,laptop,No web information found for 'laptop'.,
20251113_194137,person,0.485,person,No web information found for 'person'.,
